thomas_num,thomas_name,id,icpsr,congress,year,st_name,cd,Democrat?,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,LES,LES Rank In Party,Total in Party,Benchmark,Expectations?
84,"Conlan, John",930304,14011,93,1973-74,AZ,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.025842045,187,196,0.271341175,Below Expectations
85,"Conte, Silvio",932101,2009,93,1973-74,MA,1,0,1,1,1,1,1,70,0,0,0,0,7,2,2,2,1,1.456035018,9,196,0.4608711,Exceeds Expectations
86,"Conyers, John",932201,10713,93,1973-74,MI,1,1,1,1,1,1,0,27,0,0,0,0,0,0,0,0,0,0.730037272,118,244,1.530341387,Below Expectations
87,"Corman, James",930522,10511,93,1973-74,CA,22,1,1,1,1,1,1,56,0,0,0,0,6,0,0,0,0,1.232023001,87,244,1.584492803,Meets Expectations
88,"Cotter, William",930701,13009,93,1973-74,CT,1,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0.043414634,231,244,0.510812402,Below Expectations
89,"Coughlin, Lawrence",933813,12010,93,1973-74,PA,13,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0.106469221,135,196,0.325492561,Below Expectations
90,"Crane, Philip",931312,12041,93,1973-74,IL,12,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0.166422769,109,196,0.325492561,Meets Expectations
91,"Cronin, Paul",932105,14012,93,1973-74,MA,5,0,0,0,0,0,0,55,1,1,1,1,4,1,1,1,1,0.844029129,24,196,0.271341175,Exceeds Expectations
92,"Culver, John",931502,10715,93,1973-74,IA,2,1,1,1,1,1,0,27,1,1,1,0,1,0,0,0,0,1.021147728,98,244,1.530341387,Meets Expectations
93,"Daniel, Robert",934604,14013,93,1973-74,VA,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0.022740999,189,196,0.271341175,Below Expectations
94,"Daniel, W.",934605,12011,93,1973-74,VA,5,1,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0.038246226,235,244,0.53788811,Below Expectations
95,"Daniels, Dominick",933014,2329,93,1973-74,NJ,14,1,8,5,5,2,1,50,1,1,1,1,1,0,0,0,0,3.435356379,31,244,1.611568451,Exceeds Expectations
96,"Danielson, George",930529,13010,93,1973-74,CA,29,1,0,0,0,0,0,47,2,2,2,2,8,5,5,5,4,1.605674386,72,244,0.510812402,Exceeds Expectations
97,"Davis, John",931007,10512,93,1973-74,GA,7,1,0,0,0,0,0,44,0,0,0,0,7,0,0,0,0,0.234645754,175,244,1.584492803,Below Expectations
98,"Davis, Glenn",934909,2383,93,1973-74,WI,9,0,0,0,0,0,0,10,0,0,0,0,2,1,1,1,1,0.146356761,122,196,0.623325288,Below Expectations
99,"Davis, Mendel",934001,13048,93,1973-74,SC,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.062020905,221,244,0.510812402,Below Expectations
100,"Delaney, James",933209,2476,93,1973-74,NY,9,1,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0.099233449,208,244,0.808645189,Below Expectations
101,"Dellenback, John",933704,11011,93,1973-74,OR,4,0,0,0,0,0,0,32,0,0,0,0,4,0,1,1,0,0.208473176,93,196,0.352568269,Meets Expectations
102,"Dellums, Ronald",930507,13011,93,1973-74,CA,7,1,0,0,0,0,0,114,1,1,0,0,4,1,1,0,0,0.818128228,110,244,1.449114203,Meets Expectations
103,"Denholm, Frank",934101,13012,93,1973-74,SD,1,1,1,1,1,1,0,36,2,2,2,0,1,1,1,1,1,1.450345397,77,244,0.510812402,Exceeds Expectations
104,"Dennis, David",931410,12012,93,1973-74,IN,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.056852497,169,196,0.325492561,Below Expectations
